A_local,B_global,shapeTani_A_to_B,shapeTani_B_to_A,shapeTani_symmetric_mean,shapeTani_asymmetry,shapeProtrude_A_from_B,shapeProtrude_B_from_A,centroid_dist_AB_Angstrom,nHeavy_A,nHeavy_B,delta_nHeavy_B_minus_A,abs_delta_nHeavy,A_sdf,B_sdf,rdkit_version
x0434,x1093,0.4504001488926112,0.4523986612123466,0.4513994050524789,0.0019985123197354127,0.220844327176781,0.22561135945306338,0.3420899042130455,16,19,3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,2025.09.6
x1093,x0434,0.4523986612123466,0.4504001488926112,0.4513994050524789,0.0019985123197354127,0.22561135945306338,0.220844327176781,0.3420899042130455,19,16,-3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,2025.09.6
x0434,x0874,0.6923635044440414,0.695794647733479,0.6940790760887602,0.0034311432894376104,0.49970501474926254,0.5041543026706231,2.2511968063568735,16,13,-3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_ligand.sdf,2025.09.6
x0874,x0434,0.695794647733479,0.6923635044440414,0.6940790760887602,0.0034311432894376104,0.5041543026706231,0.49970501474926254,2.2511968063568735,13,16,3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,2025.09.6
x0072,x2193,0.6975113915177007,0.698225891445635,0.6978686414816678,0.0007144999279342645,0.4920541494997057,0.49351415094339623,1.07971290745844,13,16,3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,2025.09.6
x2193,x0072,0.698225891445635,0.6975113915177007,0.6978686414816678,0.0007144999279342645,0.49351415094339623,0.4920541494997057,1.07971290745844,16,13,-3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,2025.09.6
x0305,x0354,0.7045495414493796,0.7050295328441024,0.704789537146741,0.0004799913947227674,0.40167516387472685,0.4037626628075253,3.9540514106748006,11,18,7,7,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,2025.09.6
x0354,x0305,0.7050295328441024,0.7045495414493796,0.704789537146741,0.0004799913947227674,0.4037626628075253,0.40167516387472685,3.9540514106748006,18,11,-7,7,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,2025.09.6
x0072,x0305,0.7112366603892027,0.7146132999791537,0.7129249801841782,0.003376639589950936,0.499455930359086,0.5034457743924555,1.881058996499162,13,11,-2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,2025.09.6
x0305,x0072,0.7146132999791537,0.7112366603892027,0.7129249801841782,0.003376639589950936,0.5034457743924555,0.499455930359086,1.881058996499162,11,13,2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,2025.09.6
x0874,x0072,0.7173051519154557,0.7181663837011885,0.717735767808322,0.000861231785732719,0.5577206967818128,0.5592920353982301,2.9564195691138058,13,13,0,0,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,2025.09.6
