pair_id	lambda_global	n_seeds	records_total	auditable_total	heavy_connected_total	fragmented_total	potential_missing_bond_total	bond_distance_valence_limited_total	close_nonbonded_total	geometrically_separated_total	full_strict_dual_total	parent_strict_dual_total	anchor_strict_dual_total	connected_strict_dual_total	heavy_connected_rate_seedmean	heavy_connected_rate_seedsd	anchor_same_fragment_rate_seedmean	anchor_same_fragment_rate_seedsd	anchor_component_is_parent_rate_seedmean	anchor_component_is_parent_rate_seedsd	n_heavy_fragments_mean_seedmean	n_heavy_fragments_mean_seedsd	parent_heavy_fraction_mean_seedmean	parent_heavy_fraction_mean_seedsd	anchor_heavy_fraction_mean_seedmean	anchor_heavy_fraction_mean_seedsd	minimum_heavy_interfragment_distance_mean_seedmean	minimum_heavy_interfragment_distance_mean_seedsd	minimum_covalent_radius_ratio_mean_seedmean	minimum_covalent_radius_ratio_mean_seedsd	full_tanimoto_A_mean_seedmean	full_tanimoto_A_mean_seedsd	full_tanimoto_B_mean_seedmean	full_tanimoto_B_mean_seedsd	full_protrude_A_mean_seedmean	full_protrude_A_mean_seedsd	full_protrude_B_mean_seedmean	full_protrude_B_mean_seedsd	parent_tanimoto_A_mean_seedmean	parent_tanimoto_A_mean_seedsd	parent_tanimoto_B_mean_seedmean	parent_tanimoto_B_mean_seedsd	parent_protrude_A_mean_seedmean	parent_protrude_A_mean_seedsd	parent_protrude_B_mean_seedmean	parent_protrude_B_mean_seedsd	anchor_tanimoto_A_mean_seedmean	anchor_tanimoto_A_mean_seedsd	anchor_tanimoto_B_mean_seedmean	anchor_tanimoto_B_mean_seedsd	anchor_protrude_A_mean_seedmean	anchor_protrude_A_mean_seedsd	anchor_protrude_B_mean_seedmean	anchor_protrude_B_mean_seedsd	connected_tanimoto_A_mean_seedmean	connected_tanimoto_A_mean_seedsd	connected_tanimoto_B_mean_seedmean	connected_tanimoto_B_mean_seedsd	connected_protrude_A_mean_seedmean	connected_protrude_A_mean_seedsd	connected_protrude_B_mean_seedmean	connected_protrude_B_mean_seedsd	potential_missing_bond_fraction	geometrically_separated_fraction
x0434_x1093	0.0	5	42	42	35	7	0	5	1	1	0	0	0	0	0.8256349206349206	0.15214091129904705	0.9428571428571428	0.12777531299998798	0.975	0.05590169943749474	1.3457936507936508	0.46669767605644097	0.9486206580943423	0.06410629062256008	0.9176891626891627	0.12156670245898858	1.98844130774142	1.8445038862224528	1.3260857385944511	1.221683674668154	0.671667509851384	0.02047926399731892	0.7755064175103652	0.018584486268511585	0.407796454123241	0.03249266447411631	0.563832426081449	0.029137777407093852	0.6871687286227204	0.03084650400012686	0.7899617073412624	0.02232567193282816	0.4232633052989607	0.042543118554901775	0.5813756764582971	0.03068034599893292	0.671565297845367	0.039699719596519224	0.7792323212217356	0.028283551066549107	0.40911376811471856	0.04085151885720797	0.5711933828357345	0.03860714463147116	0.6757459194137593	0.031351895595741364	0.7850097631324622	0.018766723159523567	0.4198881884709128	0.02966350263974234	0.580774984144105	0.025943332076430372	0.0	0.14285714285714285
x0434_x1093	20.0	5	48	48	4	44	0	13	28	3	0	2	0	0	0.08222222222222222	0.04621474298463427	1.0	0.0	0.8355555555555555	0.14956727707078968	5.404444444444445	0.5578065508293605	0.6701261360706057	0.041236931710771425	0.6506886829045652	0.05211955081421411	2.0509945024485408	0.38915604197716497	1.3523340842407148	0.271619481827246	0.66145618607223	0.026934463046845627	0.7544786948190483	0.021248837326479413	0.3780150389909356	0.03608406828543558	0.5288916220607325	0.030165932506828953	0.6468349026907328	0.08699188981682057	0.7683236631923025	0.051792015333881766	0.41545895239123953	0.1271881384570356	0.5408050078747333	0.09271161905300071	0.5793705163495064	0.042377905407129615	0.7341049830331479	0.02574957034454908	0.2745185845160986	0.06463026592434219	0.4473947825144754	0.042699889665826225	0.5033772140708301	0.12605446896602276	0.694642118197726	0.10053212722648341	0.198674529559214	0.18242044825102774	0.38065618610387597	0.1550434119236552	0.0	0.06818181818181818
x0434_x1093	50.0	5	47	47	2	45	1	27	14	3	0	3	0	0	0.04722222222222222	0.06484787516627084	1.0	0.0	0.92	0.08366600265340754	7.708888888888889	1.9900741347317679	0.5484163969571756	0.07037304246691686	0.5461882802463003	0.0706366203136358	1.3812590099676325	0.28688982234991356	0.8712232741741133	0.18634284155381103	0.6135156173611302	0.04544601841598302	0.7144176849711465	0.03386035030125351	0.3204158386979917	0.04031765005023014	0.4737431304812213	0.04045909802696703	0.5561588334832477	0.07019479479343019	0.7227598576664049	0.044314208505869195	0.21212324017363887	0.09615121334022668	0.3823932365676339	0.07059740707600515	0.5275187379005939	0.05012714196627055	0.712003584186002	0.03898921673005396	0.15297378520033988	0.04424655682067	0.35114301858031965	0.04264018595689906	0.45501758761036576	0.14390762148297684	0.6795550938392949	0.1255232827411395	0.09820373631763159	0.009383269311396047	0.31406156895359544	0.09183035230888013	0.022222222222222223	0.06666666666666667
x0434_x1093	100.0	5	46	46	1	45	0	36	5	4	0	5	0	0	0.02222222222222222	0.04969039949999532	0.98	0.04472135954999579	0.8188888888888889	0.0700088177867705	7.675	1.3205258726154945	0.5239014966563678	0.046746767682997736	0.49740828546097876	0.02770420518075806	0.8237872023911391	0.4784693913296685	0.5540196691190928	0.31389510487950717	0.5796145903357304	0.03319153866169664	0.6936578173091136	0.02680337917589108	0.27294352038216296	0.032681446485488035	0.4401649748352126	0.03937033273903794	0.5826528798272974	0.03458581520762746	0.7378027971283179	0.03014912095286095	0.22654772476448706	0.06287252169859271	0.3978387479200369	0.05294513897486568	0.5305787335989609	0.025762465904277256	0.7229797582247378	0.023326161805326352	0.12959663071963554	0.020369603243192147	0.3559883712073343	0.02215981406250542	0.5567756426254056	0.0	0.768313458262351	0.0	0.10483870967741936	0.0	0.3789954337899543	0.0	0.0	0.08888888888888889
x0434_x1093	200.0	5	44	44	1	43	0	28	11	4	0	4	0	0	0.02222222222222222	0.04969039949999532	0.98	0.04472135954999579	0.7722222222222223	0.10421295267946708	7.317777777777778	0.8081223474171849	0.5045551272129417	0.015452956288287826	0.47275122377649964	0.038528355563249836	1.2621733351473696	0.3478148093169204	0.8481744441380638	0.22541368829498193	0.5662142121153921	0.032770973515245334	0.6849704281956669	0.020555649472683644	0.2615100422690997	0.022121039147916917	0.438367470144275	0.02678147768712707	0.578556193016298	0.03640319779434966	0.7366951410042887	0.0194622960192335	0.19624684849863788	0.0793697798384015	0.3615714253845521	0.044528711482380426	0.5177808168117984	0.01609908486948844	0.7234860959328048	0.016862642284480686	0.08632955834815682	0.027399813495842786	0.32898871575840594	0.01420097094182613	0.5567756426254056	0.0	0.768313458262351	0.0	0.10483870967741936	0.0	0.3789954337899543	0.0	0.0	0.09302325581395349
x0434_x2193	0.0	5	42	42	35	7	0	5	1	1	2	2	2	2	0.8256349206349206	0.15214091129904705	0.9428571428571428	0.12777531299998798	0.975	0.05590169943749474	1.3457936507936508	0.46669767605644097	0.9486206580943423	0.06410629062256008	0.9176891626891627	0.12156670245898858	1.98844130774142	1.8445038862224528	1.3260857385944511	1.221683674668154	0.671667509851384	0.02047926399731892	0.805820688690848	0.021236872873721325	0.407796454123241	0.03249266447411631	0.6128120301845319	0.03136589701471922	0.6871687286227204	0.03084650400012686	0.8097234302067944	0.020911984306635503	0.4232633052989607	0.042543118554901775	0.616073669498004	0.03443344792454467	0.671565297845367	0.039699719596519224	0.8011598051899492	0.022139422004632498	0.40911376811471856	0.04085151885720797	0.605856886891858	0.03633149319001268	0.6757459194137593	0.031351895595741364	0.8027326719520677	0.023670896229181126	0.4198881884709128	0.02966350263974234	0.6119172173585281	0.04158470613405351	0.0	0.14285714285714285
x0434_x2193	20.0	5	41	40	2	38	0	7	27	4	12	14	2	0	0.050793650793650794	0.07045187625768935	1.0	0.0	0.6646825396825397	0.10553242973787463	5.183333333333334	0.9421590997338977	0.618964887885877	0.04460956212100451	0.5852288095219251	0.03451791289356676	2.2781893043596675	0.12102642884027436	1.4302214019360548	0.1093178886475218	0.7110747128803743	0.018282669813712817	0.7624837270866108	0.011453508083506399	0.4532373894632108	0.03103276253188477	0.538040524449143	0.008231263609250007	0.7185149630476475	0.052321715098502634	0.7914868987760644	0.013131043005145532	0.4994852370751456	0.08355127334388558	0.5548528608021767	0.033711574895730255	0.5725561273389376	0.009466069844344912	0.8070131544464405	0.01719454648105374	0.19276453283927886	0.01958138035590353	0.5707312375787039	0.03388739171087775	0.5423068379432161	0.020461979812879613	0.8192807339632736	0.005257616355729527	0.12985680091291157	0.03538092392992056	0.5603644834819816	0.021215438255311348	0.0	0.10526315789473684
x0434_x2193	50.0	5	44	44	2	42	0	21	12	9	7	16	0	0	0.045	0.06224949798994366	1.0	0.0	0.61	0.07202430145443965	5.9	0.6578848683470384	0.5517701804876278	0.06821327777238463	0.4783146029151087	0.061117501654615124	1.8002161706565116	0.4270715499031655	1.1457035982793262	0.2479828483496208	0.7343836187307686	0.014970705629653658	0.7734676436134486	0.010113671905235173	0.4938481471160339	0.02547510468293595	0.5596160995527099	0.022437170146639176	0.7374827707037183	0.028208021697375314	0.8252053778379678	0.027841997360253324	0.483155378485054	0.07197117507533965	0.5934273409656954	0.035661250923709226	0.5650530870071675	0.009880544634510945	0.829653800759109	0.015685723065855233	0.11499187190857418	0.04172493788331857	0.5764980221437016	0.01381790520171349	0.5697623698574235	0.018366005782359612	0.7814973879191728	0.05869133676313275	0.21049734926767905	0.14942388109043608	0.5252031907433381	0.028510138806249058	0.0	0.21428571428571427
x0434_x2193	100.0	5	46	46	1	45	0	29	7	9	10	19	0	0	0.02	0.044721359549995794	1.0	0.0	0.5622222222222222	0.1134748571705492	6.2	0.7553921391903793	0.5216618903262624	0.0334784353569893	0.4334668294243285	0.04037717009999732	1.2577806846721928	0.4006816441365861	0.8477038382112071	0.283022531232032	0.7356865993039459	0.017338158342866256	0.7684609671331674	0.01087830317122185	0.4997054970682784	0.01351787919923038	0.5572779534387028	0.01204113137887874	0.7503411184372604	0.04682453054979446	0.8457804031478088	0.0065275543927420885	0.48846791136754086	0.08971201997000901	0.6243752140336566	0.011023598602759373	0.5566660148013063	0.006132008158999778	0.8406175836215408	0.01013215530319898	0.07891638716353133	0.026443363837924443	0.5803284234840376	0.008918094765505754	0.5567756426254056	0.0	0.8229984301412873	0.0	0.10483870967741936	0.0	0.5453629032258065	0.0	0.0	0.2
x0434_x2193	200.0	5	48	48	1	47	0	25	11	11	9	20	0	0	0.02	0.044721359549995794	1.0	0.0	0.5888888888888889	0.14614384931073227	6.8133333333333335	1.066938622738608	0.47913121708971634	0.03744134742009071	0.39566173114819436	0.03447658537814516	1.4202802074583938	0.3342626392107756	0.9510205608486171	0.22643015632780097	0.7504153330446336	0.01064074485017806	0.7874792800360121	0.005293987165367319	0.5161391520573574	0.02169557534522222	0.5842020779944644	0.019342852864108723	0.7292514967637339	0.06664786884666525	0.8473344250847266	0.017157361214418583	0.42214882853590296	0.14158649779638824	0.6133662559440612	0.025513231296947245	0.5421021058411577	0.0016634151630043024	0.851869238806086	0.004118467179201002	0.019506582082209102	0.010461270159420765	0.5817760603059831	0.0049422854013928185	0.5567756426254056	0.0	0.8229984301412873	0.0	0.10483870967741936	0.0	0.5453629032258065	0.0	0.0	0.23404255319148937
